Event Time            Message                                                               	Code
09:35:23 15-Jan-2023  Run Now 'Workload and Node Restrictions' option set ON by user ericlie	5412
09:35:23 15-Jan-2023  Run Now 'Pause' option set ON by user ericlie                         	5412
09:35:23 15-Jan-2023  DUMMY. STATUS CHANGED TO OK                                           	5164
09:35:23 15-Jan-2023  ENDED OK. NUMBER OF FAILURES SET TO 0                                 	5133
09:35:23 15-Jan-2023  JOB STATE CHANGED TO Analyzed                                         	5120
09:35:24 15-Jan-2023  Job STATE CHANGED TO Post processed                                   	5120
09:37:17 15-Jan-2023  HELD BY USER ericlie                                                  	5401
09:37:49 15-Jan-2023  FREED BY USER ericlie                                                 	5402
09:37:57 15-Jan-2023  RERUN BY USER ericlie                                                 	5404
09:37:57 15-Jan-2023  ALL RUN_NOW OPTIONS ARE RESET TO OFF                                  	5413
09:37:57 15-Jan-2023  Job STATE CHANGED TO Wait Condition                                   	5120
09:38:28 15-Jan-2023  Run Now 'Time Limits' option set ON by user ericlie                   	5412
09:38:28 15-Jan-2023  Run Now 'In Conditions' option set ON by user ericlie                 	5412
09:38:28 15-Jan-2023  Run Now 'Quantitative Resources' option set ON by user ericlie        	5412
09:38:28 15-Jan-2023  Run Now 'Control Resources' option set ON by user ericlie             	5412
09:38:28 15-Jan-2023  Run Now 'Workload and Node Restrictions' option set ON by user ericlie	5412
09:38:28 15-Jan-2023  Run Now 'Pause' option set ON by user ericlie                         	5412
09:38:29 15-Jan-2023  SUBMITTED TO dev3ctm01                                                	5105
09:38:32 15-Jan-2023  STARTED AT 20230115093828 ON dev3ctm01                                	5101
09:38:32 15-Jan-2023  JOB STATE CHANGED TO Executing                                        	5120
09:38:48 15-Jan-2023  ENDED AT 20230115093848. OSCOMPSTAT 0. RUNCNT 6                       	5100
09:38:48 15-Jan-2023  ENDED OK. NUMBER OF FAILURES SET TO 0                                 	5133
09:38:48 15-Jan-2023  JOB STATE CHANGED TO Analyzed                                         	5120
09:38:48 15-Jan-2023  Job STATE CHANGED TO Post processed                                   	5120
